username,teams
nguais,"[""__IRIS_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
llaugier,"[""__IRIS_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int""]"
ggeffroy,"[""__IRIS_int"",""__DOPSI_int"",""__IRIS_all"",""__DOPSI_SP_S_int""]"
SophatSIM,"[""__IRIS_int"",""__DED_PC_CUMTFA_int"",""__DED_int"",""__IRIS_all""]"
PascalPARIS-SU,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
mregnautIRIS,"[""__IRIS_int"",""__DOPSI_INT_CIQ_int"",""__DOPSI_int"",""__IRIS_all""]"
cralonSU,"[""__IRIS_int"",""__DED_PC_ELU_int"",""__DED_int"",""__IRIS_all""]"
NTREHET,"[""__IRIS_int"",""__DED_GE_FF_int"",""__DED_int"",""__IRIS_all""]"
sebastienlegendre,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
mlhoutel,"[""__IRIS_int"",""__DED_SC_EL_int"",""__DED_int"",""__IRIS_all""]"
DRouault,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all"",""__LAB_casier-connecte""]"
AxelBlusseauSystemeU,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
wlaradi,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all""]"
freddyhamard,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_ext"",""__DED_ext"",""__IRIS_all"",""__DED_ME_ext""]"
mtravail,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_GC_O_int""]"
AuroreMangez,"[""__IRIS_int"",""__DED_PC_CUMTFA_int"",""__DED_int"",""__IRIS_all""]"
fpeignet,"[""__IRIS_int"",""__DED_PC_CUMTFA_int"",""__DED_int"",""__IRIS_all""]"
talendoperator,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
tanguymossion,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_MACDA_int""]"
